company,title,role_level,inferred_role_level,role_level_score,role_level_confidence,is_talent_pool,role_level_score_evidence,application_url
Discovery,Android Developer - Talent Pool,unspecified,ambiguous,-2,low,True,"experience: 3+ Year (-2, mid_level) | experience: 2+ years’ experience (+2, ambiguous) | experience: 3+ years (-2, mid_level)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Android-Developer-Talent-Pool-GP-2196/1415171133/
Discovery,BI Data Analyst (Senior),senior,senior,-42,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 3 Years experience (-2, mid_level)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-BI-Data-Analyst-%28Senior%29-GP-2196/1416680033/
Discovery,Business Analyst,unspecified,junior,3,medium,False,"experience: 3 – 5 years (-2, mid_level) | experience: 1 year (+5, junior)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Business-Analyst-GP-2196/1290902701/
Discovery,Business Analyst,unspecified,senior,-10,medium,False,"experience: 5 years (-10, senior)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Business-Analyst-GP-2196/1390755233/
Discovery,IT Auditor,unspecified,ambiguous,2,low,False,"experience: 2+ years (+2, ambiguous)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-IT-Auditor-GP-2196/1292141601/
Discovery,IT Auditor (Senior),senior,senior,-58,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: Minimum of 5 years (-10, senior) | experience: minimum 5 years (-10, senior) | experience: minimum 2 years (+2, ambiguous)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-IT-Auditor-%28Senior%29-GP-2196/1292264501/
Discovery,JAVA Developer (Senior),senior,senior,-50,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 5+ years’ experience (-10, senior)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-JAVA-Developer-%28Senior%29-GP-2196/1417311333/
Discovery,Senior Data Scientist,senior,senior,-50,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 8+ years (-10, senior)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Senior-Data-Scientist-GP-2196/1414732533/
Discovery,Talent Pool - Junior Data Scientist,junior,junior,20,high,True,"title: Junior (+10, junior) | source_level: junior (+10, junior)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Talent-Pool-Junior-Data-Scientist-GP-2196/1109525301/
Discovery,Talent Pool - Senior Data Scientist,senior,senior,-38,high,True,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 2-5 years of experience (+2, ambiguous)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Talent-Pool-Senior-Data-Scientist-GP-2196/1098488601/
Discovery,iOS Developer - Talent Pool,unspecified,ambiguous,4,low,True,"experience: 2+ years’ experience (+2, ambiguous) | experience: 2+ years (+2, ambiguous)",https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-iOS-Developer-Talent-Pool-GP-2196/1415185133/
Impact.com,Associate Data Analyst,junior,junior,18,high,False,"title: Associate (+6, junior) | source_level: junior (+10, junior) | experience: 2+ years of experience (+2, ambiguous)",https://job-boards.greenhouse.io/impact/jobs/8605297002
Impact.com,GenAI Engineer - Product Marketing & Adoption,unspecified,junior,5,medium,False,"experience: At least 1 year (+5, junior)",https://job-boards.greenhouse.io/impact/jobs/8583462002
Impact.com,"Lead Data Scientist, Fraud Modelling",senior,senior,-52,high,False,"title: Lead (-24, senior) | source_level: senior (-20, senior) | experience: 5+ years (-10, senior) | experience: at least 2+ years (+2, ambiguous)",https://job-boards.greenhouse.io/impact/jobs/8600586002
Impact.com,"Principal Data Scientist, Fraud Modelling",senior,senior,-56,high,False,"title: Principal (-28, senior) | source_level: senior (-20, senior) | experience: 5+ years (-10, senior) | experience: at least 2+ years (+2, ambiguous)",https://job-boards.greenhouse.io/impact/jobs/8380911002
Impact.com,Product Data Lead,senior,senior,-56,high,False,"title: Lead (-24, senior) | source_level: senior (-20, senior) | experience: 7+ years (-10, senior) | experience: at least 3+ years (-2, mid_level)",https://job-boards.greenhouse.io/impact/jobs/8438815002
Impact.com,QA Engineer,unspecified,ambiguous,0,low,False,,https://job-boards.greenhouse.io/impact/jobs/8413160002
